controller,scenario,split,seed,success,simulation_success,failure_reason,survived_time,theta_rms_deg,max_abs_theta_deg,max_abs_theta_rad,theta_itae,attitude_settling_time,position_itae,final_abs_position_error,position_settling_time,position_overshoot,position_drift,control_energy,saturation_time,saturation_ratio,disturbance_recovery_time,controller_runtime_seconds,mean_step_runtime_us,simulation_runtime_seconds,controller_evaluation_count,controller_completed_count
FUZZY_PID,S1_initial_tilt_3deg,test,2026,1,1,,10,0.234472614217886,3,0.0523598775598299,0.00536229735561384,0.044,0.0254850044308563,0.000164621203107739,0,0,0.000164621203107739,0.00819109607448297,0,0,0,0.0733724000000001,73.299100899101,0.1633144,1001,1001
FUZZY_PID,S1_initial_tilt_6deg,test,2026,1,1,,10,0.468293232826186,6,0.10471975511966,0.00996924260830133,0.207,0.0460371884370787,0.000281301708007329,0.189,0,0.000281301708007329,0.0412506091870962,0.0095,0.000999900009999,0,0.0647582,64.6935064935065,0.1513568,1001,1001
FUZZY_PID,S1_initial_tilt_9deg,test,2026,1,1,,10,0.771083403700446,9,0.15707963267949,0.0164661635634347,0.262,0.0682174015592184,0.000300449912679756,0.74,0,0.000300449912679756,0.0888461547517128,0.0395,0.003999600039996,0,0.0603188999999998,60.2586413586411,0.1454508,1001,1001
FUZZY_PID,S1_initial_tilt_12deg,test,2026,1,1,,10,1.12805442542846,12,0.20943951023932,0.0261238400613927,0.317,0.0991436338392929,0.000276179537589178,1.072,0,0.000276179537589178,0.133162691646698,0.0695,0.006999300069993,0,0.059432,59.3726273726274,0.1436341,1001,1001
FUZZY_PID,S2_position_step_0p25m,test,2026,1,1,,10,0.695757084608898,4.4433658261276,0.0775513635365245,0.0916817413265375,1.327,0.395813978884276,0.000315665321687919,1.196,0.0147086841495435,0.250315665321688,0.0166688724462978,0,0,0,0.0610503999999999,60.9894105894105,0.1468796,1001,1001
FUZZY_PID,S2_position_step_0p75m,test,2026,1,1,,10,1.9551872787796,11.1262141062959,0.194189069436702,0.275860334277108,2.922,1.23782919093198,0.000888838919151036,1.51,0.0437177784165369,0.750888838919151,0.0802067540555407,0.03,0.002999700029997,0,0.0611379,61.0768231768231,0.1463585,1001,1001
FUZZY_PID,S2_position_step_1p0m,test,2026,1,1,,10,2.48405012643019,12.5939343262528,0.219805619773045,0.371832236698522,3.144,1.7293393183237,0.00129604797410621,2.709,0.0579734980808424,1.00129604797411,0.0925262272877728,0.03,0.002999700029997,0,0.0701775000000001,70.1073926073928,0.1612035,1001,1001
FUZZY_PID,S2_saturation_stress,test,2026,1,1,,10,2.95362836223088,14.509263120512,0.253234413491121,0.298066910491679,2.649,1.40956148652632,0.001297691401696,2.112,0.0284962432436102,1.0012976914017,0.519569114687694,0.3495,0.034996500349965,1.015,0.0598448999999999,59.7851148851148,0.1445677,1001,1001
FUZZY_PID,S3_positive_impulse,test,2026,1,1,,10,1.54826793410799,8.83282842198341,0.154161938227346,0.345571772002876,4.461,1.08730594679294,0.000895798748766663,1.39,0.0346236244205155,0.500895798748767,0.229355502023175,0.0200000000000001,0.001999800019998,0,0.0616684999999999,61.606893106893,0.1477809,1001,1001
FUZZY_PID,S3_negative_impulse,test,2026,1,1,,10,1.54136759134729,8.83282842198341,0.154161938227346,0.333937731236036,4.445,1.06607602962597,0.000233856450314818,3.818,0.0541010510357526,0.500233856450315,0.22988703007798,0.0200000000000001,0.001999800019998,0,0.0605638999999998,60.5033966033964,0.1466067,1001,1001
