controller,scenario,split,seed,success,simulation_success,failure_reason,survived_time,theta_rms_deg,max_abs_theta_deg,max_abs_theta_rad,theta_itae,attitude_settling_time,position_itae,final_abs_position_error,position_settling_time,position_overshoot,position_drift,control_energy,saturation_time,saturation_ratio,disturbance_recovery_time,controller_runtime_seconds,mean_step_runtime_us,simulation_runtime_seconds,controller_evaluation_count,controller_completed_count,run_index,rho,delta_body_mass,delta_com_length,delta_body_inertia,initial_theta_deg,reference_amplitude,force_amplitude,force_start,force_duration,constant_force,measurement_noise_seed
LQI,S4_monte_carlo,test,2033,1,1,,10,0.830052759908002,4.52982111500823,0.0790602929832544,0.211048445485116,1.618,1.39875359675683,0.000836409520151238,2.504,0.00342577030692431,0.460845924321778,0.883127747308837,0.0595000000000005,0.005999400059994,0.000267698034891239,0.0292847999999999,29.2555444555444,0.1130698,1001,1001,7,0.1,-0.0234671879242882,0.0935731274026581,0.052403179689944,4.52982111500823,0.461682333841929,-6.58480174046169,3.97859099449988,0.148141307465233,-0.0114855552904307,2033
ATTITUDE_PID,S4_monte_carlo,test,2034,0,1,task_not_settled,10,0.416331408204222,4.61699196868669,0.0805817113917176,0.122527891103808,0.137,45.4896294642137,0.973870766043043,10,0,0.067833240807406,2.24331661807787,0.619499999999998,0.061993800619938,10,0.0207391,20.7183816183816,0.113627,1001,1001,8,0.1,-0.0841564751468023,0.0772903789254586,0.0973833649164722,4.61699196868669,0.906037525235637,6.93125134034397,4.56768066243121,0.166549255056312,0.349198419976893,2034
CASCADE_PID,S4_monte_carlo,test,2034,1,1,,10,2.08387237911343,9.46158514875554,0.165135813303582,0.434377583257179,4.793,2.69969394625068,0.0128197061894,4.66,0,0.893217819046237,0.154889736119241,0.0100000000000001,0.000999900009999,0.000770082512477899,0.0209234000000002,20.9024975024977,0.1012989,1001,1001,8,0.1,-0.0841564751468023,0.0772903789254586,0.0973833649164722,4.61699196868669,0.906037525235637,6.93125134034397,4.56768066243121,0.166549255056312,0.349198419976893,2034
FUZZY_PID,S4_monte_carlo,test,2034,1,1,,10,2.38399776657085,12.0766321246144,0.21077699312664,0.491203933472207,4.97,2.13545439264037,0.00956618811529275,1.63,0.0389169062838804,0.896471337120344,0.251864602755977,0.03,0.002999700029997,0.000770082512477899,0.0605959000000001,60.5353646353648,0.1455419,1001,1001,8,0.1,-0.0841564751468023,0.0772903789254586,0.0973833649164722,4.61699196868669,0.906037525235637,6.93125134034397,4.56768066243121,0.166549255056312,0.349198419976893,2034
LQR,S4_monte_carlo,test,2034,1,1,,10,1.16180749325753,5.60103203359522,0.0977564504959102,0.243997943607184,1.606,2.83598924462607,0.00615141126831797,2.943,0.00188010917091341,0.899886113967319,0.400903204590696,0.0495,0.004999500049995,0.000770082512477899,0.0126783,12.6656343656344,0.09322,1001,1001,8,0.1,-0.0841564751468023,0.0772903789254586,0.0973833649164722,4.61699196868669,0.906037525235637,6.93125134034397,4.56768066243121,0.166549255056312,0.349198419976893,2034
LQI,S4_monte_carlo,test,2034,1,1,,10,1.39551507153336,5.39349532039993,0.0941342515318853,0.336526914491889,2.781,2.70340458803741,0.00127424469738147,2.877,0.00509161241560596,0.907311769933018,0.763348420828254,0.0395000000000002,0.003999600039996,0.000770082512477899,0.0293748,29.3454545454545,0.112769,1001,1001,8,0.1,-0.0841564751468023,0.0772903789254586,0.0973833649164722,4.61699196868669,0.906037525235637,6.93125134034397,4.56768066243121,0.166549255056312,0.349198419976893,2034
ATTITUDE_PID,S4_monte_carlo,test,2035,0,1,task_not_settled,10,0.876261403056321,7.73884241231994,0.135068280387964,0.122805905603132,0.491,28.7645505230756,0.520177808645776,10,0,0.216387030201098,2.36927510613091,0.849500000000001,0.084991500849915,10,0.0147546,14.7398601398601,0.0946478,1001,1001,9,0.1,-0.0691620128749745,0.0649210824115274,-0.0012765575777649,7.73884241231994,0.736564838846874,-5.08155395862224,3.57090165573022,0.241593028051422,-0.0105318744370065,2035
CASCADE_PID,S4_monte_carlo,test,2035,1,1,,10,1.87641591690039,8.08110542050748,0.141041896788616,0.345692672452148,2.654,1.60128672283962,0.00156239688500437,2.049,0.042025031835741,0.73500244196187,0.129509808464534,0.0195000000000001,0.001999800019998,0.00050531621836214,0.0209953000000002,20.9743256743259,0.1016837,1001,1001,9,0.1,-0.0691620128749745,0.0649210824115274,-0.0012765575777649,7.73884241231994,0.736564838846874,-5.08155395862224,3.57090165573022,0.241593028051422,-0.0105318744370065,2035
FUZZY_PID,S4_monte_carlo,test,2035,1,1,,10,2.07413674069255,11.0695911328608,0.19320081211799,0.38603873371064,4.023,1.46572553878772,0.00137555147920876,3.481,0.0652748470205293,0.735189287367666,0.231766881087174,0.0595,0.005999400059994,0.00050531621836214,0.0609969999999999,60.9360639360639,0.1466248,1001,1001,9,0.1,-0.0691620128749745,0.0649210824115274,-0.0012765575777649,7.73884241231994,0.736564838846874,-5.08155395862224,3.57090165573022,0.241593028051422,-0.0105318744370065,2035
LQR,S4_monte_carlo,test,2035,1,1,,10,1.05103818494065,7.73884241231994,0.135068280387964,0.204131997502839,1.549,2.21631258914657,0.00290705521741697,2.753,0.0217341735203972,0.733657783629457,0.412228012807609,0.0595000000000001,0.005999400059994,0.00050531621836214,0.012583,12.5704295704296,0.0926613,1001,1001,9,0.1,-0.0691620128749745,0.0649210824115274,-0.0012765575777649,7.73884241231994,0.736564838846874,-5.08155395862224,3.57090165573022,0.241593028051422,-0.0105318744370065,2035
LQI,S4_monte_carlo,test,2035,1,1,,10,1.3810447841043,7.73884241231994,0.135068280387964,0.276632511224617,1.804,2.22368756622051,0.000126470518099553,2.765,0.00200901243310525,0.736691309364974,0.893332918152776,0.0695,0.006999300069993,0.00050531621836214,0.0291717999999999,29.1426573426572,0.1125244,1001,1001,9,0.1,-0.0691620128749745,0.0649210824115274,-0.0012765575777649,7.73884241231994,0.736564838846874,-5.08155395862224,3.57090165573022,0.241593028051422,-0.0105318744370065,2035
